order-now,product id,product name,avg lead time,avg order qty,current stock,max lead time,max order qty,mod,reorder point,safety stock
green,19,Nike Men's Fingertrap Max Training Shoe,10,1,69,30,1,1,35,25
orange,24,Elevation Training Mask 2.0,10,3,175,30,5,0,175,144
green,35,adidas Brazuca 2014 Official Match Ball,10,1,65,30,1,1,35,25
green,37,adidas Kids' F5 Messi FG Soccer Cleat,10,3,328,30,5,1,175,146
orange,44,adidas Men's F10 Messi TRX FG Soccer Cleat,10,3,175,30,5,0,175,145
orange,58,Diamondback Boys' Insight 24 Performance Hybr,10,1,35,30,1,0,35,25
orange,60,SOLE E25 Elliptical,10,1,35,30,1,0,35,25
green,61,Diamondback Girls' Clarity 24 Hybrid Bike 201,10,1,61,30,1,1,35,25
orange,78,Nike Kids' Grade School KD VI Basketball Shoe,10,3,175,30,5,0,175,146
green,93,Under Armour Men's Tech II T-Shirt,10,3,324,30,5,1,175,146
orange,116,Nike Men's Comfort 2 Slide,10,3,175,30,5,0,175,145
green,127,Stiga Master Series ST3100 Competition Indoor,10,1,67,30,1,1,35,25
orange,134,Nike Women's Legend V-Neck T-Shirt,10,3,175,30,5,0,175,147
green,135,Nike Dri-FIT Crew Sock 6 Pack,10,3,327,30,5,1,175,147
orange,172,Nike Women's Tempo Shorts,10,3,175,30,5,0,175,147
green,191,Nike Men's Free 5.0+ Running Shoe,10,3,321,30,5,1,175,145
green,203,GoPro HERO3+ Black Edition Camera,10,1,63,30,1,1,35,25
orange,208,SOLE E35 Elliptical,10,1,35,30,1,0,35,25
orange,216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,10,1,35,30,1,0,35,25
orange,226,Bowflex SelectTech 1090 Dumbbells,10,1,35,30,1,0,35,25
green,235,Under Armour Hustle Storm Medium Duffle Bag,10,3,327,30,5,1,175,147
green,249,Under Armour Women's Micro G Skulpt Running S,10,3,330,30,5,1,175,146
green,251,Brooks Women's Ghost 6 Running Shoe,10,3,319,30,5,1,175,143
orange,258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,10,3,175,30,5,0,175,146
green,273,Under Armour Kids' Mercenary Slide,10,3,322,30,5,1,175,144
orange,276,Under Armour Women's Ignite Slide,10,3,175,30,5,0,175,146
orange,278,Under Armour Men's Compression EV SL Slide,10,3,175,30,5,0,175,146
orange,282,Under Armour Women's Ignite PIP VI Slide,10,3,175,30,5,0,175,146
green,295,Fitbit The One Wireless Activity & Sleep Trac,10,3,325,30,5,1,175,145
green,303,Garmin Forerunner 910XT GPS Watch,10,1,63,30,1,1,35,25
green,305,Mio ALPHA Heart Rate Monitor/Sport Watch,10,1,65,30,1,1,35,25
orange,306,Polar FT4 Heart Rate Monitor,10,3,175,30,5,0,175,143
green,311,Polar Loop Activity Tracker,10,1,61,30,1,1,35,25
green,359,Nike Men's Free TR 5.0 TB Training Shoe,10,3,329,30,5,1,175,145
orange,364,Total Gym 1400,10,1,35,30,1,0,35,25
green,365,Perfect Fitness Perfect Rip Deck,10,3,325,30,5,1,175,145
green,403,Nike Men's CJ Elite 2 TD Football Cleat,10,1,63,30,1,1,35,25
orange,502,Nike Men's Dri-FIT Victory Golf Polo,10,3,175,30,5,0,175,146
orange,564,Nike Men's Deutschland Weltmeister Winners Bl,10,3,175,30,5,0,175,145
green,565,adidas Youth Germany Black/Red Away Match Soc,10,3,325,30,5,1,175,145
green,567,adidas Men's Germany Black Crest Away Tee,10,3,328,30,5,1,175,146
orange,572,TYR Boys' Team Digi Jammer,10,3,175,30,5,0,175,146
green,607,Garmin Approach S3 Golf GPS Watch,10,1,67,30,1,1,35,25
green,625,Nike Men's Kobe IX Elite Low Basketball Shoe,10,1,65,30,1,1,35,25
green,627,Under Armour Girls' Toddler Spine Surge Runni,10,3,328,30,5,1,175,146
orange,642,Columbia Men's PFG Anchor Tough T-Shirt,10,3,175,30,5,0,175,145
